Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
2,3,645.19398,24,28.666666,34,4.1096093353127,161,234,310,0,815.3029,885.7874,943.7571,53.182606758378583
0,3,619.446,15,30.333334,39,10.873004286866745,245,352,418,0,893.6818,908.39856,920.246033,11.032949928288472
0,3,499.56016,20,26.666666,32,4.988876515698629,777,1052,1302,0,678.8954,707.371765,762.3627,38.892690008928405
0,3,3393.7595,17,27.666666,44,11.728408057172805,871,1170,1493,0,740.2074,925.882446,1055.17859,134.62452776849238
1,3,556.41282,20,28.666666,39,7.8457348639599056,989,1287,1608,0,683.032837,773.5362,837.3138,65.758907639737856
1,3,642.85022,16,24.666666,34,7.3635740114582013,1251,1520,1907,0,883.072937,905.338867,922.8549,16.584576101629555
1,3,720.51814,27,31.666666,34,3.2998316455372829,1432,1754,2229,0,1000.01556,1036.57178,1081.74072,33.915416133692446
1,3,681.81339,24,27.333334,31,2.8674417556809462,1767,2107,2668,0,829.7013,914.203369,1013.23773,75.6297849372071
0,3,534.12849,16,27,37,8.6023252670426267,1822,2225,2802,0,752.456848,785.2353,835.8482,36.305022819552221
2,3,578.75229,18,25,38,9.2014491612281741,1916,2342,2944,0,859.2035,864.6895,873.7332,6.4431260202462655
1,3,748.10722,31,33,34,1.4142135623730951,2094,2459,3055,0,1022.83514,1073.463,1120.87341,40.0885638669346
2,3,758.56321,23,25.333334,28,2.0548046676564238,2228,2577,3173,0,1038.89319,1076.06311,1125.5387,36.42741215256752
1,3,771.90688,28,32.3333321,36,3.2998316455374668,2388,2693,3275,0,1151.5238,1175.4325,1190.11707,17.052336496545106
1,3,600.20312,25,28,34,4.2426406871192848,2493,2811,3382,0,807.3938,850.9263,914.7635,46.125018002820248
1,3,638.47079,22,31,40,7.3484692283495345,2768,3164,3849,0,899.3081,923.404663,965.548157,29.9021183557319
0,3,621.33256,24,27.666666,30,2.6246692913373475,2876,3281,3964,0,911.9293,925.7339,946.863953,15.173546762198741
0,3,643.6532,29,35,40,4.5460605656619517,2970,3398,4116,0,877.725,922.9427,952.5811,32.48483710904889
1,3,621.30028,20,26.333334,32,4.9216076867445082,3036,3515,4233,0,905.9985,936.458435,952.3312,21.544851628946549
0,3,582.12674,18,28.333334,43,10.656244908763872,3336,3867,4567,0,817.2494,846.5001,880.084656,25.834779883614075
2,3,532.71158,17,30,41,9.8994949366116654,3452,3984,4759,0,791.5873,802.356934,812.227356,8.4502324737915551
1,3,568.82116,29,31.666666,33,1.885618083164234,3978,4452,5280,0,696.286255,791.697632,842.7138,67.520170641738773
2,3,602.78226,24,29,35,4.5460605656619517,4056,4568,5384,0,836.4395,861.6474,898.1154,26.407972307040289
0,3,525.87779,17,27,43,11.430952132988164,4127,4684,5578,0,770.6554,798.8516,816.8851,20.195004399296408
2,3,519.64089,20,27.666666,41,9.4633797110522817,4421,4917,5843,0,732.916748,765.8788,791.101746,24.376121797917691
2,3,739.29686,21,25.666666,34,5.9066817155564841,4558,5035,5982,0,991.7918,1029.68262,1051.7063,26.910514703941715
2,3,494.33943,22,30.333334,38,6.5489609014628645,4644,5151,6130,0,677.859558,694.543335,708.5674,12.676699912437572
1,3,627.10751,26,34.3333321,45,7.9302515022469811,5085,5619,6688,0,829.276,873.242249,932.7624,43.656239724135276
