Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
2,7,510.87029,7,11.5714283,18,4.304719763805541,300,401,527,0,552.0023,626.6911,699.903259,49.98693501397441
2,7,480.79041,8,13.4285717,19,3.5398604838182584,892,1051,1149,0,489.483948,552.25116,664.8494,59.380126347017146
6,7,785.54428,8,21.2857151,36,8.5140939575722339,0,50,110,0,678.0485,777.814453,951.0131,90.397595545732628
3,7,540.85467,7,13.8571424,32,8.1139838978073975,16,50,106,0,655.766846,730.504,780.6753,45.482076518369325,0
0,7,441.72491,11,14.4285717,17,2.0603150145508691,29,50,76,0,481.386871,550.5503,637.760254,44.334507713749595,0
4,7,464.18464,8,14.8571424,24,5.5915387973659936,64,100,173,0,532.409241,600.28064,699.9421,63.547585353395355,0
2,7,511.51709,7,13.8571424,21,4.8822878544671777,102,150,199,0,500.834717,564.0579,767.809448,87.68850692656045,0
5,7,480.16231,18,23.7142849,34,5.2020404160095284,165,201,239,0,532.795166,605.68,688.634338,61.102209572701895,0
4,7,596.74225,20,24.5714283,34,4.5936957688038724,181,251,368,0,735.9694,814.2469,887.440735,57.002663935075951,0
0,7,461.00543,18,25,36,5.80640040940045,222,301,426,0,498.7546,564.104248,625.0413,48.563716890486411,0
2,7,640.67055,20,25.4285717,34,4.9239108398897464,279,351,466,0,771.467957,837.1134,934.915039,57.438420063279246,0
1,7,548.61839,15,23.5714283,31,5.2333311668612081,310,402,531,0,574.1484,660.010254,771.058044,67.040354941127831,0
6,7,631.92982,18,26.5714283,34,5.447335989982184,325,453,585,0,709.291748,792.1498,948.939941,83.201821763640453,0
1,7,637.52264,18,27.1428566,37,6.10453160549188,356,503,628,0,650.071045,747.4821,958.0961,95.184239338340532,0
1,7,475.83284,13,22.2857151,32,6.4301585342439944,411,553,684,0,522.8933,598.488464,666.9565,43.480445683283222,0
6,7,680.52747,15,24.8571434,29,4.5175395145262893,437,603,738,0,844.907349,898.4744,1008.08972,55.16947107326849,0
0,7,737.58992,19,25.2857151,34,5.1189922477626126,457,654,811,0,757.6113,883.080261,1111.55225,106.52477356848793,0
1,7,584.11152,18,25.7142849,36,5.6748640188689752,522,704,827,0,581.208435,687.3949,877.668945,106.82404738074946,0
5,7,495.7328,16,26.2857151,36,6.0642815076546626,547,755,898,0,562.7021,645.829163,710.5192,54.718358360587928,0
3,7,602.34443,17,29.1428566,37,6.5558822317621743,608,805,950,0,746.8413,807.305664,905.134155,58.756698270808151,0
2,7,527.39493,13,21.8571434,31,6.5776368189836445,651,855,988,0,590.5046,702.237549,748.8763,52.037245883956196,0
5,7,604.87561,17,25.5714283,32,4.8064582403602136,694,906,1076,0,595.1047,705.012451,858.54834,74.9432537378868,0
4,7,657.59392,19,25.8571434,34,6.0101954194179195,719,956,1139,0,691.0965,794.1328,987.4891,107.12857359999079,0
3,7,576.75984,14,22.4285717,28,4.43547848464573,757,1007,1166,0,666.553345,731.213562,837.0845,49.26832541233744,0
3,7,620.75975,12,20.1428566,29,6.03391773769799,783,1057,1232,0,669.841736,743.3648,926.0106,80.921844532831742,0
