Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
2,7,1126.66434,0,1.42857146,5,1.5907898179514353,4,50,104,0,249.942047,327.70813,469.516266,69.890550939960832,0
6,7,897.58854,0,1.57142854,7,2.4411439272335804,25,100,224,0,262.912048,309.404877,341.598938,27.154187435560939,0
1,7,1016.8995,0,2.142857,5,1.641303613296581,61,150,272,0,271.272736,300.51712,367.746155,30.879866383749686,0
2,7,810.30676,0,1.71428573,6,2.0503857277724751,61,201,381,0,245.201752,278.846344,327.8319,23.508711424439035,0
6,7,878.46146,0,2.28571439,6,2.0503857277724773,111,251,414,0,245.2262,300.701233,344.489532,38.693016151244592,0
6,7,915.04286,0,2.142857,6,2.2946254863155739,119,301,537,0,243.9699,296.1203,357.148,43.698092104045266,0
4,7,876.52454,0,1.85714281,6,2.1665358411575864,124,352,675,0,290.233429,311.588562,344.5528,15.667268641399662,0
6,7,896.007,0,1.85714281,7,2.231499907401902,140,402,836,0,230.795639,276.598083,354.737823,41.417625120193918,0
5,7,1341.89098,0,1.57142854,4,1.3997084244475306,165,452,863,0,296.8063,351.464874,527.6392,72.948826663670133,0
5,7,873.8727,0,1.71428573,8,2.6572964625340392,204,503,906,0,283.779266,317.262177,344.751,18.361946285262412,0
0,7,893.99365,0,2.28571439,6,2.0503857277724773,255,553,916,0,314.203217,335.048553,353.357758,11.626467265753057,0
3,7,915.20203,0,2.28571439,8,2.5475077857324315,283,604,1045,0,261.523926,286.2803,347.089966,26.203518495308163,0
6,7,1195.86364,0,1.71428573,6,2.4327694808466287,305,654,1063,0,308.9288,325.288055,353.704254,15.890177894003173,0
4,7,876.69658,0,2.857143,8,2.8499910490371438,316,705,1073,0,299.4794,321.423645,343.49115,13.125436385531783,0
4,7,1017.70948,0,1.42857146,3,1.1780301787479035,341,755,1108,0,269.038757,307.2128,396.458862,41.043156843459215,0
0,7,901.41704,0,2,9,3.0237157840738176,430,805,1144,0,301.200775,324.615936,357.181519,20.842855410383041,0
5,7,1247.8282,0,1.71428573,8,2.6572964625340392,436,855,1152,0,299.02,365.1073,494.91452,70.369263478036075,0
4,7,850.7811,0,2.57142854,8,2.9207211857515536,448,906,1259,0,247.9045,303.748047,332.4661,26.22118258307145,0
1,7,795.71279,0,1.57142854,3,1.3997084244475306,467,956,1320,0,262.76297,287.3233,324.7221,18.420664072566368,0
4,7,884.43094,0,2.142857,8,2.5872528966106914,497,1007,1444,0,288.1314,323.0795,352.831055,20.494318798762027,0
2,7,843.16903,0,2.28571439,8,2.8642768079662049,538,1057,1444,0,171.222763,288.162964,336.279419,50.904272361502613,0
6,7,1233.63905,0,1.71428573,5,2.1189138534559038,548,1107,1514,0,268.9998,331.086243,490.883026,67.618038798986035,0
5,7,971.11817,0,1.42857146,4,1.1780301787479035,564,1158,1532,0,303.814819,346.0101,387.6692,32.510693920920779,0
5,7,1316.24105,0,1.71428573,4,1.3850513878332369,574,1208,1663,0,327.753723,374.890472,513.9095,58.018368244605391,0
2,7,855.42192,0,2.142857,7,2.2314999074019024,598,1258,1673,0,288.603577,312.044373,342.16037,18.811197146334177,0
