Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
2,8,90.869069,0,0,0,0,0,0,0,0,491.9523,604.707153,667.034668,64.633160055781843
5,8,60.845104,0,0,0,0,0,0,0,0,304.368378,361.587219,421.75238,43.166188362458691
4,8,60.276268,0,0,0,0,0,0,0,0,304.1239,365.82312,427.260742,34.485427351092277
6,8,65.294256,0,0,0,0,0,0,0,0,358.639954,409.0135,445.9635,26.056890728318198
2,8,72.700675,0,0,0,0,0,0,0,0,337.4006,416.7345,516.240845,47.708198246579606
2,8,90.065933,0,0,0,0,0,0,0,0,317.721069,505.561066,604.385437,103.23257788826143
3,8,63.883777,0,0,0,0,0,0,0,0,312.312256,372.593048,439.335052,46.0926230644901
7,8,85.934476,0,0,0,0,0,0,0,0,314.8421,409.195648,575.6221,86.947880007052362
3,8,89.548682,0,0,0,0,0,0,0,0,475.563751,522.5197,609.253235,49.803756223310621
4,8,82.137932,0,0,0,0,0,0,0,0,283.4257,457.226,626.664,106.27456793993095
1,8,80.370652,0,0,0,0,0,0,0,0,283.6321,430.159821,559.3082,77.687052564118787
6,8,63.465235,0,0,0,0,0,0,0,0,275.25946,333.602844,383.1466,33.937623974182785
0,8,85.70262,0,0,0,0,0,0,0,0,458.0017,562.2167,675.6205,79.032993437917682
6,8,66.888928,0,0,0,0,0,0,0,0,309.730621,368.2436,450.367828,57.480539419778324
4,8,87.934212,0,0,0,0,0,0,0,0,333.547668,413.0784,609.3594,109.26910812070884
5,8,74.148016,0,0,0,0,0,0,0,0,279.104065,406.37793,514.2544,73.96697851193187
2,8,86.777416,0,0,0,0,0,0,0,0,284.9413,396.0125,593.719666,83.523675879564351
2,8,99.59451,0,0,0,0,0,0,0,0,592.244934,659.0811,709.3369,35.416461836694296
5,8,60.788075,0,0,0,0,0,0,0,0,304.715973,348.32962,410.568726,38.17477977106396
0,8,76.9125,0,0,0,0,0,0,0,0,482.3252,498.9754,528.1884,15.163735607584606
5,8,99.711315,0,0,0,0,0,0,0,0,393.591034,518.238831,675.554,89.259978726989715
0,8,74.138845,0,0,0,0,0,0,0,0,309.3909,401.645569,494.0181,50.870093207505981
2,8,77.120624,0,0,0,0,0,0,0,0,348.4034,397.498474,524.968262,55.623709339221378
0,8,61.537632,0,0,0,0,0,0,0,0,206.752319,346.859375,401.957733,56.990064007398331
7,8,84.528021,0,0,0,0,0,0,0,0,396.419983,524.051758,585.582764,69.216295746517716
6,8,77.437725,0,0,0,0,0,0,0,0,466.0838,545.1069,649.6109,60.555125801303696
5,9,79.86288,0,0,0,0,0,0,0,0,337.870728,405.318634,541.5906,59.173220048073475
