,aa_filename,agents_num,complete_time_avg,complete_time_avg_std,dist_travelled_avg,dist_travelled_avg_std,totaldist,totaldist_std,max_dist_travelled_avg,max_dist_travelled_std,min_dist_travelled_avg,min_dist_travelled_std,cell_discovered_avg,max_cell_discovered_avg,max_cell_discovered_std,min_cell_discovered_avg,min_cell_discovered_std,obj_collected_avg,max_obj_collected_avg,max_obj_collected_std,min_obj_collected_avg,min_obj_collected_std,num_capacity_share,num_capacity_share_std
0,AuctionFrontierC_2agent_10obj_high_7cap.csv,2.0,569.9313656249999,82.52196175611172,767.9398123124998,86.02872216167485,1535.8796246249997,172.0574443233497,802.57029553125,100.03008722434629,733.3093396562501,95.48219651319747,180.0,207.59375,19.28372098847342,152.40625,19.28372098847342,5.0,5.75,0.842423539174232,4.25,0.842423539174232,0.0,0.0
1,AuctionFrontierC_2agent_35obj_slow_15cap.csv,2.0,2109.7691499999996,268.87908752443406,733.9182008235296,87.21541319250956,1467.8364016470591,174.43082638501912,777.3071431470588,90.03344122309602,690.5292631470588,101.24276991811114,180.0,223.38235294117646,27.75762489389979,136.61764705882354,27.75762489389979,17.5,20.352941176470587,1.8729712732378823,14.647058823529411,1.8729712732378816,0.0,0.0
2,AuctionFrontierC_2agent_35obj_med_15cap.csv,2.0,1196.4550305555556,688.5321197586301,773.2624715277777,159.99870162948832,1546.5249430555555,319.99740325897665,813.0106271388888,172.58146202001785,733.5143051666669,156.75719509131318,175.0,201.86111111111111,42.68767154094144,148.13888888888889,35.63237113939897,17.0,19.305555555555557,3.686418660391485,14.694444444444445,3.0030407869780866,0.0,0.0
3,AuctionFrontierC_2agent_50obj_med_15cap.csv,2.0,1257.9761600000002,199.7322077350008,876.53006176,141.22302189934388,1753.06012352,282.44604379868775,920.8413728400001,142.53961012932538,832.2187408799999,147.89859458341218,180.0,216.52,25.214281667340835,143.48,25.214281667340835,25.0,29.8,2.843120351538664,20.2,2.843120351538664,0.0,0.0
4,AuctionFrontierC_2agent_35obj_high_30cap.csv,2.0,650.8860407407409,96.61312300185988,850.9556196296297,69.92380204497296,1701.9112392592594,139.84760408994592,867.8176839629627,76.12488762077075,834.093552888889,66.46421310059901,180.0,210.5185185185185,21.678366334933244,149.4814814814815,21.678366334933244,17.5,19.48148148148148,1.4510041713975554,15.518518518518519,1.4510041713975554,0.0,0.0
5,AuctionFrontierC_2agent_10obj_med_15cap.csv,2.0,918.9209346153846,158.76657414334025,643.4055052692306,105.69564703144725,1286.8110105384612,211.3912940628945,658.4862303076924,107.67293360521558,628.3247671538462,105.68133079320053,180.0,214.0,29.32575659723036,146.0,29.32575659723036,5.0,5.8076923076923075,0.800960961307392,4.1923076923076925,0.800960961307392,0.0,0.0
6,AuctionFrontierC_2agent_35obj_high_7cap.csv,2.0,833.5610481481482,79.3810314146724,1113.3559265925924,111.95670351830758,2226.7118531851847,223.91340703661515,1159.1863365555555,120.72204527558057,1067.5255184074076,118.16409843540956,180.0,207.7037037037037,20.42399571924165,152.2962962962963,20.42399571924165,17.5,19.962962962962962,1.2241631829848088,15.037037037037036,1.2241631829848088,0.0,0.0
7,AuctionFrontierC_2agent_50obj_high_7cap.csv,2.0,909.4629333333332,134.37917597644244,1223.215235925926,113.24665386061629,2446.430471851852,226.49330772123258,1309.3655003703705,146.1876384560225,1137.064966,130.70444426373103,179.92592592592592,205.5185185185185,20.788995554916458,154.33333333333334,20.62485431183977,25.0,28.037037037037038,2.009237924447236,21.962962962962962,2.009237924447236,0.0,0.0
8,AuctionFrontierC_2agent_50obj_high_30cap.csv,2.0,581.472796969697,84.61581256439855,810.384869909091,93.07040899091174,1620.769739818182,186.1408179818235,829.3247817272728,100.23222267116228,791.4449544848485,89.57695902707327,180.0,213.36363636363637,23.256475149163002,146.63636363636363,23.256475149163002,25.0,27.78787878787879,2.3151346580379477,22.21212121212121,2.3151346580379477,0.0,0.0
9,AuctionFrontierC_2agent_50obj_slow_7cap.csv,2.0,3156.4547029411774,273.9677830550115,1105.525498294118,93.98907546081631,2211.050996588236,187.97815092163262,1167.0416105882355,89.06200123676254,1044.0093817941174,116.21807686681291,180.0,218.47058823529412,22.0388572740631,141.52941176470588,22.0388572740631,25.0,28.529411764705884,2.191378341919339,21.470588235294116,2.191378341919339,0.0,0.0
10,AuctionFrontierC_2agent_35obj_slow_7cap.csv,2.0,2542.5851800000005,286.87365114727913,914.5961622800003,92.91452639139179,1829.1923245600005,185.82905278278358,956.5786790399999,106.8083713207977,872.6136667199999,87.16677125154962,180.0,222.76,26.542858424316947,137.24,26.542858424316947,17.5,19.8,1.3228756555322951,15.2,1.3228756555322951,0.0,0.0
11,AuctionFrontierC_2agent_50obj_slow_15cap.csv,2.0,2358.4421500000003,309.3634479735882,846.6146327142858,107.1812129917584,1693.2292654285716,214.3624259835168,880.9430643571428,113.98954861758916,812.2861882142859,105.42822374259049,180.0,226.28571428571428,26.52023286705363,133.71428571428572,26.52023286705363,25.0,29.142857142857142,2.475274555879434,20.857142857142858,2.475274555879434,0.0,0.0
12,AuctionFrontierC_2agent_10obj_high_15cap.csv,2.0,524.2654966666666,69.33171843134348,726.0225010333335,100.65120595713977,1452.045002066667,201.30241191427953,741.7848256333333,101.80270884655602,710.2601690333335,102.88520084981799,180.0,205.56666666666666,17.75636521777828,154.43333333333334,17.75636521777828,5.0,5.733333333333333,0.7849152527649012,4.266666666666667,0.7849152527649012,0.0,0.0
13,AuctionFrontierC_2agent_10obj_slow_7cap.csv,2.0,1492.836128125,201.99275585324793,558.9918975625001,81.49078759138962,1117.9837951250001,162.98157518277924,571.2935107187501,77.9420119153436,546.69028925,86.14527568591751,180.0,213.21875,32.488940425935716,146.78125,32.488940425935716,5.0,5.75,0.7184212081070996,4.25,0.7184212081070996,0.0,0.0
