Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
2,6,747.88723,7,8.833333,11,1.3437096247164626,20,58,134,0,539.811157,558.552,580.015259,11.709836505709896,15
0,6,791.30045,5,11.166667,18,4.0585985539619864,39,117,204,0,474.6495,547.0184,600.3659,38.084772007432242,31
0,5,930.86727,1,13.6,24,8.16333265278343,9,70,129,0,477.233978,581.6475,702.4123,82.923626763037575,24
3,5,610.06916,7,11.4,22,5.388877434123005,72,140,200,0,298.0714,368.26355,482.975464,73.03355125007954,35
2,5,827.12784,5,12.4,18,5.4626001134990787,15,70,140,0,485.281342,583.0705,653.5666,57.0709320275942,10
2,5,871.6059,4,13.8,30,8.8634079224641376,50,141,330,0,604.7122,626.4384,671.334839,23.232442948699411,38
3,5,800.61942,7,11.8,20,4.9558046773455509,18,70,136,0,564.5444,605.136841,635.7962,22.99676639252873,12
4,5,822.01727,8,14.6,23,5.5353410012392326,34,70,102,0,536.5084,591.157,640.616333,41.040196378670743,26
0,5,790.8716,7,12.8,25,6.4621977685614072,58,141,228,0,528.121948,578.640137,624.857056,41.408098204093719,41
3,5,721.39363,11,15.6,20,3.1368774282716476,39,70,118,0,387.217529,490.593567,553.6306,55.998633437508872,6
3,5,665.51927,8,15.4,22,6.1188234163113542,75,141,172,0,392.755737,443.296234,512.713562,42.868599119454792,19
4,5,808.93118,8,11.4,14,2.4979991993593886,170,211,260,0,564.3028,592.686951,628.022034,22.934234048832188,40
3,5,845.87702,7,14.2,26,6.615134163416494,185,282,396,0,552.5848,618.99884,672.9406,42.028949174515688,55
0,5,754.61709,7,13.4,23,5.388877434123005,270,352,419,0,552.36084,580.0436,591.3239,14.678243173472154,62
2,5,885.85658,3,14.8,23,7.110555533852474,314,422,506,0,535.8591,589.6712,698.123047,57.161223936748812,89
3,5,745.32054,3,12.8,22,6.431174076325413,335,493,636,0,544.7142,570.112366,585.3878,13.719412078473438,112
0,5,770.10912,5,13.2,21,5.230678732248812,467,563,741,0,528.1424,563.3216,608.994,28.5883105643119,130
1,5,774.75005,12,15.2,19,2.5612496949731467,55,70,85,0,415.3341,498.09613,586.105835,56.228695725246595,16
3,5,844.55116,4,11.8,22,6.0133185513491663,32,70,137,0,448.8122,555.337158,630.396362,61.729096768212557,21
3,5,807.89308,7,13.8,28,7.9347337699509515,75,141,258,0,490.035156,569.4237,639.3401,49.268922482041873,41
0,5,911.23188,6,13.2,17,3.9698866482558461,113,211,369,0,599.6528,644.8172,723.322449,42.113484911748614,66
1,5,739.92413,7,11.4,21,5.0039984012787357,154,281,411,0,541.716248,559.0376,589.237244,19.331490169668005,83
0,5,806.07042,4,11.4,22,6.0199667773169763,72,140,238,0,459.276184,520.0457,634.729431,61.670291654046,25
2,5,673.8748,7,14.6,28,7.28285658241326,125,211,264,0,433.961823,479.8466,527.925232,37.299342706950149,31
3,5,781.63906,6,12.8,24,6.5238025721200392,16,70,154,0,557.439636,582.1114,608.271362,16.582373013720616,22
